Vendor,Report Period,TSC,CUEC,ACME Mapping,Status,Notes
{{DATA_STORE}},2025-10-01 to 2026-03-31,Confidentiality,Encryption at rest is enabled by default on {{DATA_STORE}} clusters ({{DATA_STORE}} control C1.1.2). Customer is responsible for opting in to customer-managed keys (CMK / BYOK) via KMS if required for regulated workloads.,Encryption Policy EN-02,Covered,Default platform encryption is sufficient for ACME's current data classification. CMK not required.
{{DATA_STORE}},2025-10-01 to 2026-03-31,Availability,Customer is responsible for selecting an {{DATA_STORE}} cluster tier that supports the required backup capability. Point-in-Time Restore (PITR / continuous backup) is available only on M10 or higher clusters; shared tiers (M0/M2/M5) get snapshot-only backups.,BCP/DR Policy BCP-04,Open,"Inventory ACME cluster tiers; if any production data is on shared tiers,  accept the RPO gap in writing or upsize to M10+."
{{DATA_STORE}},2025-10-01 to 2026-03-31,Availability,Customer is responsible for performing its own restore testing of {{DATA_STORE}} backups as part of its BCP/DR program ({{DATA_STORE}} performs platform-side restore testing annually per A1.2.5 / A1.3.1).,BCP/DR Policy BCP-06,Open,Include {{DATA_STORE}} restore in next annual DR exercise.
{{DATA_STORE}},2025-10-01 to 2026-03-31,Security,"Customer is responsible for monitoring its own {{DATA_STORE}} tenant activity — database access logs, audit logs, and {{DATA_STORE}} org activity feed — and routing them to a centralized log / SIEM with alerting on anomalies.",IR Policy IR-04 / Logging & Monitoring,Open,"Decide: accept as residual risk or wire {{DATA_STORE}} audit logs into central log pipeline with alerts on mass export, new database users, and unusual query volume."
{{DATA_STORE}},2025-10-01 to 2026-03-31,Confidentiality,Customer is responsible for deleting or exporting data from the cloud service prior to termination of the agreement (C1.2 marked Not Applicable to {{DATA_STORE}}; data disposal is a customer obligation).,Data Retention Policy DR-03,Covered,Covered by ACME Data Retention Policy; tracked in offboarding runbook.
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC2.2 - CC2.3,"Understanding and complying with their contractual obligations to {{GRC_PLATFORM}} with regard to security, availability, processing integrity, and confidentiality.",{{GRC_PLATFORM}} ToS/MSA reviewed at procurement and annually; tracked in Vendor Register,Open,Map to Vendor Management Policy
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC2.2 - CC2.3,Notifying {{GRC_PLATFORM}} of changes made to technical or administrative contact information.,{{SECURITY_OWNER}} listed as technical/admin contact; updated in {{GRC_PLATFORM}} tenant settings; reviewed annually,Open,Verify contact in {{GRC_PLATFORM}} admin console
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC2.2,Maintaining their own system(s) of record.,"ACME maintains {{VCS}}, {{CLOUD_PROVIDER}}, {{IDP}}, {{DATA_STORE}} as systems of record; {{GRC_PLATFORM}} is a read-only consumer of evidence",Open,No action — architectural fact
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC1.1; CC2.2,"Ensuring the supervision, management, and control of the use of {{GRC_PLATFORM}} services by their personnel.",{{SECURITY_OWNER}} owns {{GRC_PLATFORM}} admin; usage governed by Acceptable Use Policy and Information Security Policy,Open,Covered by AUP
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC8.1,Providing {{GRC_PLATFORM}} with a list of approvers for security and system configuration changes for data transmission.,{{SECURITY_OWNER}} is sole approver for {{GRC_PLATFORM}} integration/config changes; documented in Access Control Matrix,Open,Document in ACM
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC7.3 - CC7.5,"Immediately notifying {{GRC_PLATFORM}} of any actual or suspected information security breaches, including compromised accounts, including those used for integrations and secure file transfers.",IR Policy §Vendor Notification lists {{GRC_PLATFORM}}; {{SECURITY_OWNER}} opens support case on suspected compromise,Open,Add {{GRC_PLATFORM}} to IR vendor notification list
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC6.1; CC6.3,Ensuring that application password settings are configured in accordance with the entity's password policy.,SSO via {{IDP}} enforces MFA and password policy; no local {{GRC_PLATFORM}} passwords,Open,Verify SSO enforcement in {{GRC_PLATFORM}} admin
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC6.1; CC6.2; CC6.3,"User access administration for their employees, including periodically reviewing access to the {{GRC_PLATFORM}} application.",Quarterly user access review per Access Control Policy includes {{GRC_PLATFORM}}; onboarding/offboarding checklists provision/deprovision {{GRC_PLATFORM}},Open,Add {{GRC_PLATFORM}} to quarterly UAR scope
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,PI1.2,Ensuring that manual inputs are reviewed by their own personnel.,"Manual evidence uploads (policies, screenshots) reviewed by {{SECURITY_OWNER}} before submission; minimal manual input — most data flows via integrations",Open,Low effort — {{SECURITY_OWNER}} sign-off on manual uploads
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,PI1.1 - PI1.5,"Ensuring the completeness and accuracy of integration data input into, processed by, and output by the {{GRC_PLATFORM}} application.","Integrations ({{CLOUD_PROVIDER}}, {{VCS}}, {{IDP}}, {{DATA_STORE}}, etc.) are read-only; ACME verifies integration health quarterly via {{GRC_PLATFORM}} dashboard",Open,Add integration health check to quarterly compliance review
{{GRC_PLATFORM}},2024-07-01 to 2025-06-30,CC2.2 - CC2.3,"Following {{GRC_PLATFORM}}'s terms and conditions with regard to security, availability, processing integrity, and confidentiality.",ToS accepted at procurement; Acceptable Use Policy references vendor ToS,Open,Re-affirm at annual review
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; A1.2,User entities are responsible for informing {{CHAT_PLATFORM}} of any regulatory issues that may affect the services provided by the System.,Compliance/Legal monitors regulatory changes affecting vendors; {{SECURITY_OWNER}} notifies {{CHAT_PLATFORM}} via support if material,Open,Low-effort; add to Vendor Management procedure
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC2.2; CC2.3; CC6.1; A1.2,User entities are responsible for understanding and complying with their contractual obligations to {{CHAT_PLATFORM}}.,{{CHAT_PLATFORM}} ToS reviewed at procurement and annually; tracked in Vendor Register,Open,Map to Vendor Management Policy
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC2.2 - CC2.3,"User entities are responsible for keeping the technical,  billing,  and administrative contact information on file with {{CHAT_PLATFORM}} up to date.",{{SECURITY_OWNER}} listed as billing/admin contact in {{CHAT_PLATFORM}} workspace; reviewed annually,Open,Verify contact in {{CHAT_PLATFORM}} admin console
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,A1.2 - A1.3,User entities are responsible for developing their own disaster recovery and business continuity plans that address the inability to access or utilize the System.,BCP/DR Policy lists {{CHAT_PLATFORM}} as critical-but-replaceable comms; fallback = email + phone tree,Open,Add {{CHAT_PLATFORM}} to BCP §Comms section
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC6.3; CC6.6,User entities are responsible for configuring the System security settings appropriately for the user entity.,SSO + MFA enforced via {{IDP}}; app installation restricted to admins; session length and external sharing configured per policy,Open,Document {{CHAT_PLATFORM}} workspace hardening checklist
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC6.3; CC6.6,User entities are responsible for ensuring the confidentiality of any user accounts and passwords assigned to them for use with the System.,Acceptable Use Policy + password manager + SSO eliminates direct {{CHAT_PLATFORM}} passwords,Open,Covered by AUP and SSO enforcement
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC6.3; CC6.6,"User entities are responsible for inviting new users to sign up for an account in the System, as well as removing terminated user accounts from the System.",Onboarding and offboarding checklists include {{CHAT_PLATFORM}} provision/deprovision; SCIM via {{IDP}} if available,Open,Add {{CHAT_PLATFORM}} to offboarding checklist
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC6.3; CC6.6,User entities are responsible for ensuring that entity profile information stored by the System is accurate and complete.,Workspace profile reviewed annually,Open,Annual control owner = {{SECURITY_OWNER}}
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC7.3 - CC7.5,"User entities are responsible for immediately notifying {{CHAT_PLATFORM}} of any actual or suspected information security breaches, including compromised user accounts.",Incident Response Plan §Vendor Notification lists {{CHAT_PLATFORM}}; {{SECURITY_OWNER}} opens support case on suspected compromise,Open,Add {{CHAT_PLATFORM}} to IR vendor notification list
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC6.3; CC6.6,User entities are responsible for ensuring the appropriateness of designated {{CHAT_PLATFORM}} Workspace owner(s) and administrator(s).,Workspace Owner = {{SECURITY_OWNER}}; secondary admin = founder; documented in Access Control Matrix,Open,Verify admin list in {{CHAT_PLATFORM}} quarterly
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC6.3; CC6.6,User entities are responsible for providing accurate and complete contact information to {{CHAT_PLATFORM}} for end users to be provisioned.,Provisioning sourced from {{IDP}} identity (single source of truth),Open,N/A if SSO/SCIM in place
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC2.2 - CC2.3,User entities are responsible for accepting the terms and agreement for utilizing {{CHAT_PLATFORM}}'s services.,ToS accepted at procurement; tracked in Vendor Register,Open,Re-affirm at annual review
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC2.2 - CC2.3,User entities are responsible for monitoring and enforcing organizational compliance to {{CHAT_PLATFORM}}'s terms and agreements.,Acceptable Use Policy references vendor ToS; quarterly admin review,Open,Cover in AUP
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; C1.1 - C1.2,User entities are responsible for configuring the message retention settings appropriately for the organization.,Data Retention Policy defines message retention window; configured in {{CHAT_PLATFORM}} workspace admin,Open,Decide retention window; document in Data Retention Policy
{{CHAT_PLATFORM}},2024-11-01 to 2025-10-31,CC6.1; CC8.1,User entities are responsible for developing and implementing their own information classification policies to govern sharing Personally Identifiable Information (PII) and other sensitive data in the System.,"Acceptable Use Policy + Data Classification Policy prohibit customer data, secrets, and regulated PII in {{CHAT_PLATFORM}}; secrets go in password manager",Open,Customer data explicitly excluded per ACME policy
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC2.3,"Customers are responsible for managing compliance with applicable laws / regulations., ACME Compliance Program (SOC 2", GDPR/CCPA mapping),Met,General obligation; tracked outside {{APP_AUTH}}.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for establishing appropriate controls over the use of their {{APP_AUTH}} Accounts and passwords.,{{APP_AUTH}} password policy + Conditional Access; Access Control Policy,Met,"Verify password policy meets ACME standard (length,  complexity,  no expiry per NIST)."
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.2/CC6.3,Customers are responsible for disabling / deleting account access to their {{APP_AUTH}} services upon employee and contractor role change or terminations.,Offboarding Checklist + Access Review (quarterly),To verify,Confirm SLA (<24h for terminations) and evidence retention for last 12 months.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for implementing workstation timeout for extended periods of inactivity.,MDM/Endpoint policy enforces 15min lock,Met,Already covered by endpoint baseline.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC7.2/CC7.3,Customers are responsible for reviewing the access activities associated with their accounts and their VM applications.,{{APP_AUTH}} sign-in logs exported to SIEM; quarterly access review,To verify,Confirm sign-in log export is configured and alerting rules exist for impossible-travel / privileged role usage.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for protecting the credentials associated with their deployment profiles.,Secrets Management Policy; no hardcoded creds,Met,N/A specifically — keep in CSV for completeness.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for specifying strong credentials used with service identities and management service accounts and managing them for continued appropriateness.,Service-account rotation cadence in Access Control Matrix,To verify,Inventory {{APP_AUTH}} service principals / managed identities; document rotation cadence.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for ensuring the supervision management and control for access to key systems.,Access Control Policy; Privileged Access procedures,Met,Owner: {{SECURITY_OWNER}}.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers' administrators are responsible for the selection and use of their passwords.,{{APP_AUTH}} admin password policy + MFA required,Met,Enforced via Conditional Access policy targeting admin roles.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customer entities are responsible for notifying the MFA service of changes made to technical or administrative contact information.,Tenant admin contact kept current in {{APP_AUTH}} admin center,To verify,Add to quarterly tenant-hygiene checklist.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC1.4,"Customers are responsible for maintaining their own system(s) of record., Internal record-keeping (HRIS", ticketing),Met,Standard obligation.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for ensuring the supervision management and control of the use of MFA services by their personnel.,MFA enforcement via Conditional Access; user training,Met,Verify Conditional Access policy excludes no users except break-glass.
{{APP_AUTH}},2024-10-01 to 2025-09-30,A1.2/A1.3,Customers are responsible for developing their own Disaster Recovery and Business Continuity Plans that address the inability to access or utilize MFA services.,BCP/DR Policy §5 — break-glass account + offline TOTP backup,To verify,Document break-glass procedure; test annually.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for ensuring the confidentiality of any user IDs and passwords used to access MFA systems.,Password manager required; no shared accounts,Met,Covered by Acceptable Use Policy.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.2,Customers are responsible for ensuring that user IDs and passwords are assigned to authorized individuals.,Joiner workflow ties {{APP_AUTH}} account to HRIS record,Met,Owner: People Ops + {{SECURITY_OWNER}}.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.7/PI1.2,Customers are responsible for ensuring that the data submitted to the MFA service is complete accurate and timely.,MFA enrollment data sourced from {{APP_AUTH}} user profile,Met,Standard.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC7.3/CC7.4,Customers are responsible for immediately notifying the MFA service of any actual or suspected information security breaches including compromised user accounts.,Incident Response Plan §3 — {{APP_AUTH}} notification step,To verify,Add {{APP_AUTH}} incident notification contact to IR runbook.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.7,Customers are responsible for determining implementing and managing encryption requirements for their data within the {{APP_AUTH}} platform where {{APP_AUTH}} does not enable it by default and / or can be controlled by the customer.,Data Classification Policy; {{APP_AUTH}} data encrypted at rest by default,Met,No customer-managed keys in {{APP_AUTH}} tenant.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for appropriate protection of the secrets associated with their accounts.,Secrets Management Policy + password manager,Met,"Includes refresh tokens,  app registration secrets."
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC7.3,Customers are responsible for reporting to {{APP_AUTH}} the incidents and alerts that are specific to their systems and {{APP_AUTH}}.,IR Plan includes {{APP_AUTH}} escalation,To verify,Confirm {{APP_AUTH}} support tenant escalation path documented.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC7.4,Customers are responsible to support timely incident responses with the {{APP_AUTH}} team.,IR Plan IR-04 — vendor coordination,Met,General obligation.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for implementing appropriate authentication mechanisms and only granting admin access to appropriate individuals to maintain the integrity of their {{APP_AUTH}} tenant.,{{APP_AUTH}} Global Admin list reviewed quarterly; MFA enforced; PIM for just-in-time elevation,To verify,Confirm PIM (Privileged Identity Management) is enabled or document compensating control (max 2 standing Global Admins).
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers utilizing {{APP_AUTH}} services are responsible for implementing appropriate authentication mechanisms and limiting admin access to appropriate individuals to maintain integrity of their SaaS applications.,Conditional Access policies; SSO integration list reviewed during access review,To verify,Confirm Conditional Access blocks legacy auth and enforces MFA on all SaaS app sign-ins via {{APP_AUTH}}.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible to implement logical access controls to provide reasonable assurance that unauthorized access to key systems will be restricted.,Access Control Policy + RBAC role assignments,Met,Owner: {{SECURITY_OWNER}}.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC6.1,Customers are responsible for backing up keys that they add to {{APP_AUTH}} Key Vault.,N/A — Key Vault not currently used,N/A,Revisit if ACME adopts Key Vault for customer-managed keys.
{{APP_AUTH}},2024-10-01 to 2025-09-30,CC1.4,Customers are responsible for understanding and adhering to the contents of their service contracts including commitments related to system security availability processing integrity and confidentiality.,{{APP_AUTH}} Product Terms + DPA reviewed by Legal,Met,Renew on contract anniversary.
{{APP_AUTH}},2024-10-01 to 2025-09-30,P5.1,Customers are responsible for responding to data subject requests for customer data or system generated logs.,Privacy Policy / DSAR procedure,Met,General privacy obligation.
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 1.3,Assign responsibilities for the operation and monitoring of the {{CLOUD_PROVIDER}} System,Access Control Policy §1 / org chart ({{SECURITY_OWNER}} owns {{CLOUD_PROVIDER}}),Confirmed,{{SECURITY_OWNER}} designated as {{CLOUD_PROVIDER}} owner; 5-person team
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 1.3,Establish responsibilities and procedures to respond to relevant information security incidents pertaining to the use of the {{CLOUD_PROVIDER}} System,Incident Response Policy,Confirmed,IR Policy covers {{CLOUD_PROVIDER}}-originated incidents
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 1.4,Provide appropriate training to end-users on proper use of {{CLOUD_PROVIDER}} consistent with the Acceptable Use Policies and Terms of Service,Acceptable Use Policy / Security Awareness Training,Pending,Annual security training references {{CLOUD_PROVIDER}} AUP
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 1.4,Ensure end-users are trained on organizational policies and procedures relevant to the use of {{CLOUD_PROVIDER}},Security Awareness Training,Pending,Covered by annual training rollup
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 1.4,Train administrators and end-users on responsibilities and procedures for identifying handling and responding to security incidents pertaining to {{CLOUD_PROVIDER}},IR Policy / Security Awareness Training,Pending,Confirm IR tabletop covers {{CLOUD_PROVIDER}} scenarios
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 1.4,Train users on the use and disclosure of passwords used to authenticate to {{CLOUD_PROVIDER}},Password Policy / Security Awareness Training,Confirmed,Federated via {{IDP}} SSO; passwords governed centrally
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 1.5, CC 5.1",Consider information security requirements in the deployment configuration and modification of the customer's instance of {{CLOUD_PROVIDER}},Secure SDLC / Change Management Policy,Pending,IaC reviews include security checks
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 2.1, CC 2.2",Define document and make available to users procedures for the operation of the customer's instance of {{CLOUD_PROVIDER}},Operational runbooks / SOC2 evidence repo,Pending,{{CLOUD_PROVIDER}} runbooks exist; confirm linked from policy index
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 4.1,Ensure any application software deployed onto {{CLOUD_PROVIDER}} follows specific software change management policies and procedures,Change Management Policy,Confirmed,All deploys via PR + CI; no manual prod pushes
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 5.3, CC 8.1",Periodically review the configuration of {{CLOUD_PROVIDER}} to help ensure it is consistent with policies and procedures,Configuration review / annual access review,Pending,Add quarterly {{CLOUD_PROVIDER}} config review to compliance calendar
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 2.3, CC 7.1, CC 7.2, CC 7.3",Contact {{CLOUD_PROVIDER}} for any issues with service availability or security including unauthorized use of password or account compromise of data and security events,IR Policy §3 (vendor escalation),Confirmed,{{CLOUD_PROVIDER}} support channel documented in IR Policy
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 5.3,Establish organizational policies and procedures for the use or integration of third-party services,Vendor Management Policy,Confirmed,VMP §2 covers third-party integration
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 5.3,Review the information security policies and security capabilities in {{CLOUD_PROVIDER}} to determine their applicability and modify internal controls as appropriate,Vendor Management Policy §4 (annual SOC 2 review),Confirmed,This document is that review
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,CC 5.3,Define and maintain policies and procedures governing the customer's administration of access to {{CLOUD_PROVIDER}},Access Control Policy §2-4,Confirmed,AC-01 through AC-09 cover {{CLOUD_PROVIDER}} IAM administration
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 5.3, P 6.1, P 6.4",Establish documented policies and procedures for the transfer and sharing of information within the organization and with third-party entities,Data Sharing Policy / DPA,Confirmed,Out of scope for Security TSC but covered
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Provision maintain monitor and disable end users' access in accordance with internal access management policies,"AC-04, AC-07, AC-09 / Access Control Matrix",Pending,Confirm {{CLOUD_PROVIDER}} IAM principals listed in Access Control Matrix with owner and review date
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Provision service availability user roles and sharing permissions within {{CLOUD_PROVIDER}} consistent with customer organizational policies,Access Control Policy §4 (least privilege),Pending,Audit IAM role bindings; remove primitive Owner/Editor roles where possible
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Implement secure log-on procedures to access {{CLOUD_PROVIDER}} consistent with customer access management policies,Access Control Policy §3 (SSO via {{IDP}}),Confirmed,{{CLOUD_PROVIDER}} console access federated via Workspace SSO
{{CLOUD_PROVIDER}},2025-03-01 to 2026-02-28,"CC 6.1, CC 6.2, CC 6.3",Review users' access rights periodically consistent with customer organizational policies to mitigate the risk of inappropriate access,AC-09 / annual access review,Pending,Annual review must include {{CLOUD_PROVIDER}} IAM listing
